label,sentence1,sentence2 
main-captions,An orange kitten lay on a leather couch.,Young couple sitting on a black couch.
main-captions,A person wearing a bike helmet talks on a cell phone.,A person wearing a helmet rides a bike near a white structure.
main-captions,A subway train pulling into the station.,A white train pulling into a station.
main-captions,A bicycle is parked by a shop.,A green bike parked outside a book store.
main-captions,Two men standing on beach.,Two women standing in front of tour bus.
main-captions,Long-haired black dog standing in grassy field.,A blue jay standing in a grassy field.
main-captions,A small desk with chair near a laundry closet.,A room with tan walls and a washer and dryer.
main-captions,Red double decker bus driving through the streets.,Red double decker bus driving down a street.
main-captions,A goose flapping its wings in a body of water.,A black swan flapping its wings on the water.
main-captions,Boy laying on couch with dog.,The boy is lying on a couch with a puppy.
main-captions,A black and white image of a cat laying on a rug.,Black and white picture of a cat laying on a rug.
main-captions,A large jet on the ground at the airport.,A large airplane parked at the airport at night.
main-captions,Two women are sitting in a cafe.,Two men catching a fish in a swamp.
main-captions,Eight bottles of Harp lager lined up on the floor.,Eight bottles of Harp beer lined up on a wooden floor.
main-captions,A small child smiling at the camera.,A cat looking at the camera.
main-captions,A woman riding a brown horse.,Person dressed in blue riding brown horse.
main-captions,photo of a television screen showing a movie.,The wall-mounted flat-screen TV is showing a movie.
main-captions,A bird perched on a flowerpot.,Bird perched on a flowerpot beside a stucco wall.
main-captions,White cat sitting inside of a sink.,Grey and white cat sitting in bathroom sink.
main-captions,Young woman in riding gear on top of horse.,Young girl in riding gear on a horse.
main-captions,Two people are sailing a small boat.,Two women in a sailboat.
main-captions,A small bird on a tiny branch.,A small bird perched on an icy branch.
main-captions,Two animals sitting on a rock.,Two eagles sitting on a long branch.
main-captions,Two cats sit on the back of a couch looking out the window.,Two cats are sitting on the back of a couch and looking out the window in a sea photo.
main-captions,Two young women shear a sheep.,Two women sheering a sheep.
main-captions,The young rider takes a ride on the brown horse.,A young female rider on a brown horse.
main-captions,Six people are seated at a restaurant table and looking into the camera.,A group of people sitting at a restaurant table.
main-captions,Little white lamb with nose to wood.,A white lamb with its nose against a wooden box.
main-captions,A young girl riding a white and grey horse.,a little girl is riding a white and grey horse.
main-captions,A black dog stands next to materials at a construction site.,A black dog standing in a room being constructed.
main-captions,A bird is flapping its wings in the water.,A black swan flapping its wings on the water.
main-captions,A black and white cat lying on a blanket.,A black and white cat laying on a cat bed.
main-captions,Young woman in riding gear on top of horse.,The woman is riding on the brown horse.
main-captions,A plane being readied for take-off.,A small turboprop plane being loaded on the tarmac.
main-captions,A white leather couch with a purse and throw blanket on it.,A television with a show on.
main-captions,A kitchen with wooden cabinets and furniture.,Kitchen with wooden table and cabinets.
main-captions,The cat is attacking a corn husk broom.,Grey and white cat sitting in bathroom sink.
main-captions,A couple holds a baby.,Couple with newborn baby.
main-captions,A small bird eating from the feeder.,Bird eating from a bird feeder.
main-captions,Close up of a white sheep with a black head.,A close-up of a sheep with a black head.
main-captions,A young boy laying on a sofa with a dog.,A small boy laying on a sofa with a dog.
main-captions,A red bird is perched in a tree.,A small red and grey bird perched in a tree.
main-captions,Two buses parked on a street.,Yellow scooter parked in an alley way.
main-captions,A black and white dog looking at the camera.,A grey
main-captions,A train is on the railroad tracks.,A train on the train tracks.
main-captions,Large silver locomotive engine in a shed.,A close-up of a silver train engine with a red stripe.
main-captions,A women sitting at a table drinking with a basketball picture in the background.,A woman in a sari drinks something while sitting at a table.
main-captions,A green steam engine traveling on the railroad tracks.,A black steam train traveling on the railroad tracks.
main-captions,A small red car on top of a semi truck.,Red sports car on top of white semi truck.
main-captions,The man poses for a photo in front of the train.,A man stands on a platform in front of a silver train.
main-captions,A bicyclist in black on a black and red racing bike.,A cyclist in black and white lira speeding past spectators.
main-captions,A kitchen sink and countertop with bowls on shelves.,A small kitchen with items stacked on the shelves and on the counter.
main-captions,A television in a messy room with several bookcases.,A room with a television
main-captions,A black and white cat sleeping on its side on a purple blanket.,A black and white cat laying on the ground in the sun.
main-captions,A woman riding a bicycle on a large concrete area.,A women riding a mountain bike on a large concrete area.
main-captions,Two cows standing in a large field.,The cow is grazing in a field.
main-captions,A bald man touches the nose of a black horse on the other side of a fence.,A bald man with a beard pets the nose of a black and white horse at the fence.
main-captions,A man is standing next to a yellow sports car.,A man stands next to a yellow Corvette.
main-captions,a black and white photo of cows in their stalls.,A black and white photo of cattle at a trough.
main-captions,Double decker bus with the London Eye ferris wheel in background.,a brown double decker tour bus on a street with a ferris wheel behind it.
main-captions,A yellow and black bird eats from a bird feeder.,A flock of birds flying over a body of water.
main-captions,A man stands in front of a train.,A man stands on a platform in front of a silver train.
main-captions,A small plane parked at an airfield with a cloudy sky overhead.,A small white plane parked in an airport on a cloudy day.
main-captions,A boat is on the water near a small plane.,A boat is in the water and a small airplane is on the dock.
main-captions,A man riding a white horse in an arena.,A domestic animal stands in a pen.
main-captions,A Macintosh computer sitting on the floor.,a computer on the floor.
main-captions,A black and white cat is sitting on a brown chair looking up.,A dog sitting on a yellow chair next to a green dumpster.
main-captions,sheep standing in afield.,A large dog stands next to a sheep in a field.
main-captions,Group of elderly people sitting around a table.,A group of elderly people pose around a dining table.
main-captions,Three women with brown hair are smiling.,Three women in Indian dresses in a crowded room smiling.
main-captions,A black and white photo of an empty train station.,A black and white photo of a cat sitting on a sofa.
main-captions,Two dogs in a fenced kennel look ahead.,Two girls on a guy posing on the bow a boat.
main-captions,A black and white cow looking through the fence.,A black and white cat laying on the ground in the sun.
main-captions,Several people on motorcycles in a market square.,People ride mopeds in an urban setting.
main-captions,A close-up of a sheep in the grass.,A close-up of a lamb with its ear tagged
main-captions,Domestic cat laying on back of cat litter.,Tan domestic cat under black tarp.
main-captions,Two green birds fly towards a wooden telephone pole.,Two green birds flying above the telephone wires.
main-captions,A person sitting on a motorcycle while a man stands by.,A man stands next to a helmeted man on a motorcycle in an empty parking lot.
main-captions,Three cows grazing in a field.,Two cows graze in a field.
main-captions,A blue bird perched on a gloved hand.,A bird is perched on a person's gloved hand.
main-captions,A baby holds a ketchup packet.,A baby in a highchair holds a ketchup packet.
main-captions,A close-up view of a horse's head.,A close-up of a brown horse's head.
main-captions,A train is at a train station.,a train in a station.
main-captions,A dark brown horse standing in a field.,Horse standing in a field.
main-captions,A small cat laying on a wooden beam looking up at the camera.,The small dog is wearing a sweater and looking up at the camera.
main-captions,The black bird is sitting on the ground.,The bird is sitting on the branch.
main-captions,A small brown birds is eating from a bird feeder hanging from a tree.,A small red and grey bird perched in a tree.
main-captions,A pair of dogs playing with a purple ball.,Two dogs play with purple football.
main-captions,a bird lands in the water.,a boat floats in the water.
main-captions,Three children stand on or near a fence.,The three children are standing on and by a fence.
main-captions,A black dog emerges from the water with a white ball in its mouth.,a black dog walking out of the water with a white ball in his mouth.
main-captions,A girl in a purple shirt and pink headband posing,A young girl wearing a hat and blue jeans is on a swing.
main-captions,A brown dog digging a hole in front of a plant,A group of people walking on the side of a railroad track.
main-captions,The brown and white dog swims in a swimming pool.,A brown and white dog swims in a backyard swimming pool.
main-captions,A boy in a red sled is riding down the hill.,A multicolour dog in a red collar crouching on the grass.
main-captions,A black and brown dog runs through the woods.,A dog running through the woods.
main-captions,The two dogs are running on the grass.,Two dogs are playing in the grass.
main-captions,A young girl holds up a peace sign.,A little girl holds onto a pole on a city street.
main-captions,A man is hanging by a line off a cliff above water.,Man sitting by himself on a pier with a bottle of water.
main-captions,A man crouching and holding a camera.,The crouching man is holding a large camera.
main-captions,Man riding a bicycle down a narrow path.,A man riding a unicycle down a paved road
main-captions,A man wearing an orange coat speaks to another as they walk in the snow.,A man and woman dressedin old fashion clothing sit outside at a table.
main-captions,A dog is jumping up in the air to catch a toy.,A black dog jumps in the air to catch a toy.
main-captions,A brown dog laying on a blue cover.,A person is diving into clear blue water.
main-captions,The two boys play in the field.,The two people have their heads covered with scarves.
main-captions,The two dogs are running through the grass.,Three dogs run in the snow.
main-captions,A boy with a broken arm is resting in a bed.,A boy with a broken arm is sleeping.
main-captions,boy doing tricks on a skateboard,A boy does a trick on a skateboard.
main-captions,Three dogs playing in the snow.,Three dogs are playing in the water.
main-captions,A little girl with a ribbon in her hair is picking her nose.,A little girl in a purple shirt and helmet is riding on a scooter.
main-captions,A young girl going down a tube slide.,A young girl swinging off a tire swing
main-captions,Many people are in the bicycle racing including one man in a three-wheeled bike.,A man riding on a three-wheeled wheelchair.
main-captions,A group of people are wearing bunny ears.,A group of people ride in a race
main-captions,"A dog in a ""superman"" shirt sleeps on a blanket.",A brown dog in a Superman shirt is laying on a blue blanket.
main-captions,The white and brown dog runs across the grass.,A brown and white dog runs across the grass.
main-captions,A brown dog is resting its paws on a laptop keyboard.,A dog sits with its paws on a laptop computer.
main-captions,A young girl with glasses sits and holds two American flags.,A girl in glasses is looking over two American flags near a wooded area.
main-captions,A small white and brown dog is jumping over a horizontal pole.,a brown and white dog jumping over a red and yellow pole
main-captions,Two dogs are running through a grassy area.,Two dogs running through a grassy field.
main-captions,A man is swinging on a rope above the water.,A man in warm clothes swinging on monkey bars at night.
main-captions,Two Asian men and Asian woman sit in black massage chairs.,Two Asian men and a woman are relaxing in massage chairs.
main-captions,A girl playing is a pile of colorful balls.,A little girl plays in a pit of colorful balls.
main-captions,An older man is standing outside in front of a truck.,A woman dressed in green is roller skating outside at an event.
main-captions,Smiling man with reflective classes.,A gentleman smiling and showing his reflective sunglasses.
main-captions,five people standing on a sidewalk,Five people on a sidewalk.
main-captions,The white dog runs across the snow.,A white bear walks along snow-covered ground and casts a shadow on the snow.
main-captions,A young boy in a brown jacket playing with snow.,Two dogs are playing in the snow.
main-captions,A man picking up a big rock.,A woman picking up a large rock.
main-captions,A white and brown dog is running over grass.,A brown and white dog is running across the grass.
main-captions,Man is carrying a tool box down the sidewalk.,A woman is riding a blue bicycle in a park.
main-captions,"A man wearing a t-shirt that says ""Gigolo"" stands at the counter talking to someone.","A man wearing a shirt that says ""Gigolo"" is standing at a front desk area with his back to the camera."
main-captions,A tent and a campsite in a sunlit forest.,A white dog on a beach is carrying a stick in its mouth.
main-captions,Two large dogs running in some grass.,Two brindle dogs running in the grass.
main-captions,A dog swimming with a stick in it's mouth.,A dog running with a stick in it's mouth.
main-captions,A man playing fetch with two brown dogs.,A woman plays with a brown dog.
main-captions,a dog is running across the sand with a stick in it's mouth.,A dog is running through a creek with a stick in its mouth.
main-captions,A man is standing in water near a waterfall.,A man wades in the water and watches a water fall.
main-captions,A tan dog jumps up to catch a tennis ball.,A red dog jumps an catches a tennis ball in its mouth.
main-captions,The man is jumping into the water.,The man is up in the air.
main-captions,A woman in a black shirt stands in front of bananas at a fruit stand.,a woman wearing black stands in front of a pickup truck.
main-captions,A child is jumping into a swimming pool.,A dog jumping into a swimming pool.
main-captions,A little boy jumping from one chair to another.,A young boy jumping from one chair to another in his house
main-captions,A girl swings her long wet hair in a lake.,A person riding a dirt bike.
main-captions,Two dogs playing by the shore.,Two dogs playing in the snow.
main-captions,A little girl walks on a boardwalk with blue domes in the background.,A man going over a jump on his bike with a river in the background
main-captions,A guy and two girls are smiling at the camera.,Three dogs
main-captions,A dog swimming with a stick in it's mouth.,Dog swimming in the water with a stick in its mouth.
main-captions,A black poodle plays in the snow.,A black poodle frolics in the snow.
main-captions,two girls holding up a scary movie flyer,Two girls holding sacks are standing in a field.
main-captions,Three boys are running on the beach playing a game.,Two young boys and one young man run on a beach with water behind them.
main-captions,A girl is wearing a purple sash and matching skirt.,A group of girls stands wearing jean skirts and superman shirts.
main-captions,a man wearing a grey jacket standing on the side of a street.,A boy wearing a blue life jacket is holding onto the side of a green boat.
main-captions,A brown and black dog is jumping to catch a red ball.,A brown and black dog jumps for a red ball.
main-captions,The tan dog runs through the leaves.,The white dog runs through the ocean.
main-captions,A white and black dog is jumping into a pool.,A woman in a black apron is standing in front of a mirror.
main-captions,A black and white dog is carrying a stick in its mouth.,The black and white dog has a stick in his paws.
main-captions,A deer jumps a fence.,A deer jumping over a fence.
main-captions,A little girl holds a wooden stick.,A little girl swimming in a pool.
main-captions,A black dog jumps through the water.,A dog walks through the snow.
main-captions,A group of people in front of a red fire truck.,A group of people are standing around a red fire truck.
main-captions,a boy jumps into the blue pool water.,The young boy is jumping into the pool on his belly.
main-captions,A blonde dog is catching a ball in its mouth in the snow.,A little blonde girl is sitting on a green chair.
main-captions,Three children and playing and laughing on the floor.,Three children playing on the floor.
main-captions,A man sits with fishing poles near a body of water.,A man sits on a rock next to a folding deck chair and a fishing pole.
main-captions,A woman and a dog standing in the grass.,A man carries a sign while standing in the rain.
main-captions,A man in a blue shirt is running in a stadium field.,A man wearing a blue hat and shirt is riding a white horse.
main-captions,A black dog running through water.,A black dog is running through some water.
main-captions,Children jumping on a trampoline.,A man is sledding on an orange slide.
main-captions,A large brown dog is crouching in a grassy field.,A brown dog is running in a field.
main-captions,A dog runs through the grass.,A dog runs through the snow.
main-captions,A skier speeds through the snow.,A brown dog carrying a Frisbee runs through the snow.
main-captions,Two people are playing golf on a golf course.,Two people are on a golf course playing golf.
main-captions,A boy and a girl playing on the beach.,A dog playing in the waves with a ball.
main-captions,The child in the red coat laid in the red mat.,The toddler is ready to climb the red piece of equipment.
main-captions,Two dogs play in the grass.,Two dogs are playing in the grass.
main-captions,A child in a blue and white team uniform chasing a soccer ball.,A young boy in a blue soccer uniform chasing a ball.
main-captions,A softball player swinging at a pitch.,A baseball player hitting the ball
main-captions,A man is kite surfing away from the camera.,A man is sky surfing on the water.
main-captions,A black dog is running in the grass.,A boy running through green grass.
main-captions,A little boy and a little girl playing together outside.,A young boy and a young girl walking towards each other
main-captions,Two people sit on the end of a dock.,Two people sitting on a dock.
main-captions,Two dogs in a yard.,Two dogs in a stream.
main-captions,A man chases a dog trying to pass the barrier to enter a play area.,A man follows his black and white dog as it takes on an obstacle course.
main-captions,The large brown and white dog is running through the snow.,St. Bernard dog running in the snowy field.
main-captions,A bloody man and woman pose for a picture.,A man in woman dressed warmly pose for a picture.
main-captions,A yellow dog is playing in a grassy area near flowers.,A girl is playing on a swing.
main-captions,a boy plays with a noodle by the pool.,A boy plays with a foam noodle toy by a pool.
main-captions,two big brown dogs running through the snow.,A brown dog running through the grass.
main-captions,A young boy jumps into a pool with outstretched arms.,A dog jumps into a backyard pool.
main-captions,A girl holds up a yellow balloon animal.,A child holds a yellow balloon.
main-captions,Two dogs share a toy in a field of vegetation.,Two snowboarders are in the air over the snow.
main-captions,A blond haired lady in white poses for the camera.,A black and white dog runs with its mouth open.
main-captions,A dog runs through a field chasing a ball.,A child runs through the grass.
main-captions,Two girls are sitting in front of a statue.,Two blonde girls are sitting next to a statue
main-captions,A girl in orange lights a candle.,A girl in an orange shirt lights candles.
main-captions,A white dog runs through a field of yellow flowers.,A dog with a red collar runs in a forest in the middle of winter.
main-captions,An infant sitting on a cot reaching over to touch the face of an older boy.,A boy who seems ill is being touched in the face by a toddler.
main-captions,A dog shaking off water.,A dog shaking water off.
main-captions,Young boys running along the pavement.,A black dog running along the edge of the ocean.
main-captions,A young child slides down an orange slide.,A little boy in denim overalls slides down an orange slide.
main-captions,a black and white dog running through some red and white poles,Black and white dog in living room standing on hind legs.
main-captions,"Three individuals are posing on skis behind a ""no skiing"" sign.",Three people on skis are standing behind a no skiing sign.
main-captions,A man in a white suit walks down the street holding a newspaper.,A man in a white suit walks outside carrying a newspaper.
main-captions,A black dog with a blue collar is running in the snow.,A black dog wearing a blue collar is running through the snow.
main-captions,A dog is running toward the camera.,A brown and white dog running on grass.
main-captions,a boy swinging on a swing.,The girl is on a swing.
main-captions,A group of youngsters swim in lake water,Many children are playing and swimming in the water.
main-captions,A blue and white soccer team playing against each other.,A topless woman with her face painted is covered in mud.
main-captions,A brown dog about to catch a green Frisbee.,A brown dog waits for the Frisbee to come down before catching it.
main-captions,A black and white dog is swimming in a large green lake.,A black dog runs fast into shallow water.
main-captions,Two large black dogs are playing in a grassy field.,Two white dogs are running together.
main-captions,The brown and black dog sprints across the snow.,A black dog is running quickly along the ground.
main-captions,The man in the backpack looks to his left.,An adult male wearing a backpack walks and looks to the left.
main-captions,An elderly man in a blue shirt is holding up a piece of canvas art.,A black man is walking next to a building in a big city.
main-captions,Two skinny young boys playing with sand in the water.,Two dogs are shaking water off.
main-captions,A small dog runs through an obstacle course.,A small dog jumping over an obstacle.
main-captions,A brown dog running through the woods.,A brown dog runs through the grass.
main-captions,A group of people are standing by a window watching something.,A group of people stand and wait to see something.
main-captions,A dog is jumping over a barrier at a agility competition.,A dog jumping over an obstacle course fence.
main-captions,Three people racing on ice skates.,Three ice skaters round a corner.
main-captions,Two women contestants are walking their dogs in a dog show.,Two women walk there dogs at a dog show.
main-captions,Two men on the side of a barge,A man is lying the grass with long hair and beard.
main-captions,A brown dog in running on grass.,A brown dog runs through the grass.
main-captions,A person is riding their bike on a trail next to the woods.,A small child in a yellow shirt is holding their arms out to the sides.
main-captions,A woman in a black dress smiles in front of a silver truck.,A girl wearing a black top is smiling with a silver truck in the background.
main-captions,A dog is on the beach near a ball.,A guy is going up for a lay-up on a basketball court.
main-captions,A dog bounds across the brown grass.,Two dogs bound across the grass.
main-captions,a woman playing with two young boys at a park,A woman and three kids play at a park.
main-captions,A dog emerges form the water with a stick in its mouth.,A dog runs toward the camera with a stick in its mouth.
main-captions,Three dogs playing in the snow.,The boy is playing in the sand.
main-captions,A dog carries a leash in its mouth.,A fluffy dog carries a black leash in its mouth.
main-captions,A man in jeans is playing with a ball while a woman in jeans stands nearby looking away.,A man is tying a red arm band around another mans arm in the street.
main-captions,A skier is falling into the snow.,A skier is falling face first into the snow.
main-captions,A dog with a red toy in it's mouth.,A brown dog is carrying a stick in its mouth.
main-captions,Two hockey players fighting on the ice.,Two hockey players in a struggle on the ice.
main-captions,Two terriers play on the wood floor of their home.,Two puppies play with a red chew toy in a field.
main-captions,Two dogs running through a field.,Two dogs play in a field.
main-captions,A man in a gray suit locking up a bicycle,A man and a woman standing on a city street.
main-captions,A man in a black leather jacket is sleeping in a subway car.,A man in a black leather jacket falls asleep on public transportation.
main-captions,A dog leaping over a hurdle.,A dog leaps over the hurdle.
main-captions,Two men are setting up some electronic equpitment,Two dogs are wrestling on the ground in the snow.
main-captions,A black dog is walking on the grass with a stick in it's mouth.,A boy holds a net with a snake in it close to the ground.
main-captions,A girl runs with dogs in a dry field.,A grey dog and a tan dog playing on a grassy field.
main-captions,Two dogs playing in the snow.,Two black dogs in the snow.
main-captions,A dog leaps off a dock and into the water.,The black dog leaps off the dock and into the water.
main-captions,a group of old men walking down the street,A couple walking down the street.
main-captions,Three dogs standing in snow next to a blue fence.,Three dogs play in the shallows next to a rocky shore.
main-captions,A black and white dog is running through the field.,A black and white dog is running in the grass.
main-captions,A boy in black waves his arms while other people are behind him on a field.,a man in a black shirt is roller blading past a bench in the city.
main-captions,An elderly woman rides a bicycle along a city street.,An elderly woman walking uphill crossing the street.
main-captions,A young boy is punching a yellow ball.,A small dog jumps over a yellow beam.
main-captions,A group of young ballerinas are in a dance studio.,A group of young ladies in bikinis.
main-captions,A young boy in a white dress shirt is playing on a grassy plain.,A woman is getting her hair done at a salon.
main-captions,A man and a dog are playing tug of war.,A man dances on a colorful wall.
main-captions,A wet child shivers under a towel at a pool.,A wet child is shivering in a towel in front of a pool.
main-captions,A white dog runs on a beach.,The white dog is running along the beach.
main-captions,Six dogs running on the sandy beach.,Six dogs walking beside the beach.
main-captions,A man holds on to a handle in the water.,A man is holding onto handles in the air.
main-captions,A white dog walking in the snow.,A black and tan dog walking through the snow.
main-captions,The white and brown dog runs across the grass.,Three dogs are running on the grass.
main-captions,A boy goes down an inflatable slide.,A boy in red slides down an inflatable ride.
main-captions,Two dogs playing with a ball in a puddle.,Two dogs stand in a puddle
main-captions,Three dogs are playing in the water.,Three dogs run in the snow.
main-captions,Two dogs playing in the snow.,Two kids playing with a dog.
main-captions,A girl does a back bend on the beach.,A girl doing a back bend at the beach.
main-captions,The two dogs are playing fetch in the snow.,Two dogs are playing together in the grass.
main-captions,Two surfers on riding a small wave.,Two surfers perform tricks in the waves.
main-captions,Two people walking on the beach at sunset.,Two people walking along the shore at sunset.
main-captions,two puppies playing around in the grass,Two dogs are wrestling in the grass.
main-captions,A young girl is sitting on Santa's lap.,A little girl is sitting on Santa's lap
main-captions,A black and white dog runs with its mouth open.,A black and white dog swims in blue water.
main-captions,A young boy jumping in the air at the beach.,A boy jumping in the air on the beach.
main-captions,Five men in tuxedos are walking down steps.,Five men in tuxedos walk down a set of steps
main-captions,Man in red shorts and white shirt kicking a soccer ball.,A black dog stands in the surf holding a red rubber ball.
main-captions,A man and dog on a rocky seashore.,Man and dog standing on rocks next to water
main-captions,Brown dog splashing into the water.,Four dogs splashing in the water
main-captions,The smiling woman at the beach is buried in seaweed.,A girl in a cowboy hat with a sheep on a leash.
main-captions,A dog with big ears is holding a small stick in it's mouth.,A puppy with big ears chewing on a stick.
main-captions,The large brown dog is jumping through the tall grass.,The girl wearing a blue shirt is running through a science center.
main-captions,Two dogs fighting in the snow.,Two dogs playing in the snow.
main-captions,A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.,There are two white dogs and one brown dog chasing a ball.
main-captions,A grey hound is active in a grassy field.,A bunch of bikes racing on a track.
main-captions,Two people are racing a sidecar motorcycle in the mud.,The dog carrying a long stick in its mouth.
main-captions,The man is sitting at the top of a rocky mountain.,A person sticks their head out of a tent at the top of a mountain.
main-captions,A man standing on a boat is pulling another boat close by with a bamboo stick.,a man in a black hat standing in front of a brick wall and a sign
main-captions,a man plays his white guitar.,a man playing a white guitar and singing as well
main-captions,A person is skijoring with a dog in the mountains.,A brown dog is playing with a ball in the water.
main-captions,Two shirtless young people playing in the water.,Lots of people play in the water at the beach.
main-captions,Close-up of a hummingbird.,A closeup of a hummingbird flying.
main-captions,Woman in a black dress walking on the street.,A woman watches a dog jump down the stairs.
main-captions,A man and a woman looking at the camera.,A man and a woman laughing.
main-captions,a brown dog running through the dirty muddy grass,The large brown dog is running outside in the dirt.
main-captions,Three dogs pulling a man on a bicycle through the snow.,The dogs are pulling a man on a type of bike
main-captions,A baby in a red hat sitting in a stroller is holding a doll.,A man in a gray shirt sitting in a field of flowers.
main-captions,Three children playing with hay outdoors throwing some at camera lens.,Three young children play in the hay
main-captions,A climber is standing on the rock face next to the pink rope.,The children are running in the snow with fences in the background.
main-captions,A black dog wearing an orange collar is entangled with fishing wire.,The black dog wearing a red collar shakes water off.
main-captions,Two dogs are playing around in the dirt.,A dancer posing for the camera in a red and white dress.
main-captions,A golden dog is running on the grass.,The large beige dog is running through the grass.
main-captions,A dog runs through the grass.,a dog runs across the grass.
main-captions,a man in red shorts is walking along rocks by a river carrying a stick.,A man is walking on rocks with water flowing around them.
main-captions,Man rowing a boat.,a man doing a trick on skateboard
main-captions,Three dogs running on a racetrack.,Three dogs round a bend at a racetrack.
main-captions,A black and brown dog walks through the snow near a building.,An older man stands outside a old boarded up building.
main-captions,A dog is jumping into a swimming pool after a duck.,A dog jumping into a swimming pool.
main-captions,A dog running through a forest in the winter time,A dog running through a lot of twigs.
main-captions,The girl is playing along with the images on the big screen.,Three girls holding umbrellas with their backs to the camera.
main-captions,Many people run in a race on a street.,A puppy running along a street.
main-captions,A man in swimming trunks is standing against some rocks.,A man in a gray shirt climbs a large rock wall.
main-captions,Two white dogs walking in the snow.,A tan dog with a black collar barking in the snow.
main-captions,A woman wearing a pink shirt jumps in the air with her arms and legs spread to her sides.,A man wearing suspenders and sunglasses leaps up in the air with his arms and legs spread out to the side.
main-captions,A dog runs through the grass.,Two dogs run through the brush.
main-captions,A dog running across the sand,A dog running through the water.
main-captions,A woman is attempting to ride a small wave.,A man and woman sitting back to back outside in the sun.
main-captions,The black and white dog is swimming in the river.,A black man and his dog on the beach.
main-captions,Man standing on top of jagged rocks near the ocean.,A man is standing on top of rocks overlooking the ocean.
main-captions,A girl in a black and blue wet suit is surfing.,A woman wearing a black and blue striped suit is surfing on a wave.
main-captions,The woman is leading a dog through an obstacle course.,Woman leading her small dog through an obstacle course.
main-captions,Two dogs on the beach.,A dog walks on the beach.
main-captions,A young boy is standing on a gray tiled area.,A young boy is practicing his karate in a gym.
main-captions,The dog is running with food in his mouth.,The dog is running with a yellow ball in his mouth.
main-captions,Two dogs running down a beach.,two dogs running on the beach
main-captions,A black and white dog swimming in the pool,A black and white dog running with something in his mouth.
main-captions,A dog has it's head inside a red and green gift bag.,A pet playfully investigates the contents of a gift bag.
main-captions,A yellow shirted man wearing a golden sun mask.,A man in a yellow shirt wears a gold
main-captions,A man is scalling a sheer rock face with a rope support.,A young man is doing a ski jump with a purple board.
main-captions,A child with his hands on his head.,A little boy stands with his hands on top of his head
main-captions,A man wearing a orange vest is canoeing in the blue water.,A man in an orange jacket raising his hands to the sky in the sand.
main-captions,An old man in a black trench coat standing in a marketplace.,The baby is wearing a red shirt and walking in a plaza.
main-captions,A man climbing a cliff face.,A man climbs a sheer cliff face.
main-captions,Two girls are in pajama pants and appear to be dancing.,Two girls with baseball caps are eating a snack outside.
main-captions,A white and brown dog playing with a black toy.,A white and brown dog is playing tug-o-war.
main-captions,A boy plays baseball.,A man is playing baseball.
main-captions,A boy wearing a red shirt runs across the grass with a furry dog.,A sports fan is wearing face paint in the stands.
main-captions,A black dog retrieves in the snow.,A skateboarder jumping in the street.
main-captions,A smiling man and a baby girl posing for photo.,A smiling man holds a small child wearing pink and red.
main-captions,A dog jumping for a Frisbee in the snow.,A dog is jumping in the snow.
main-captions,A brown and white dog with a pink collar is barking at a brown dog with a blue collar in the snow.,The dog with the red collar is bearing it's teeth at the dog with the blue collar.
main-captions,Two brown dogs are biting each other.,Two brown dogs biting each other on sand.
main-captions,A skateboarder attempts a trick on the side of a low wall.,A boy does skateboard tricks on a railing.
main-captions,A young girl doing a back flip in the water.,a young girl wearing purple running through water
main-captions,A snowboarder rides a snowboard down a railing beside a flight of steps.,A boy is grinding a skateboard down a concrete wall.
main-captions,A woman with two men in hats socializing outside.,A young woman with a knit cap stands against the wall of a Domino's Pizza.
main-captions,A small boy in a bathrobe is sitting in a metal chair.,A boy in a robe sits in a chair.
main-captions,A black dog is running through the snow.,A black pit bull dog is running through the dirt.
main-captions,a group of teenagers are dancing on a wooden floor.,A group of people in dark colored clothing are line dancing on a wooden floor.
main-captions,A young boy is riding a bike.,A young girl laying on a blue inflatable toy
main-captions,A black dog running in the snow.,A black dog running on a beach.
main-captions,Three dogs in the snow by a fence.,Two dogs drink water in a lake.
main-captions,A girl runs along a river bank with two black dogs.,A little boy is petting a tiger that is laying down.
main-captions,A teenage girl running on a beach shouting with an older man walking behind her.,a young child running along the shore at a beach
main-captions,A brown and white dog is walking next to a man on a skateboard.,A blond child is laying on a branch of a tree in a green field.
main-captions,Man riding a surfboard on a wave.,A man in black on a surfboard riding a wave.
main-captions,The man in the red shirt is climbing the side of a mountain.,A man is climbing the side of a mountain.
main-captions,A man riding a motorcycle while wearing a black uniform.,A white motorcycle is being ridden around a race track.
main-captions,a black dog swimming through a river.,a black dog digging through the snow.
main-captions,A man and a woman are smiling.,A man and a woman laughing.
main-captions,A man is standing on top of a rock or mountain watching the sun set.,A man standing in the mountains watching a sunset.
main-captions,Two little girls are playing on a trampoline.,Two little boys are playing on a playground.
main-captions,Two girls are jumping high in the air.,Two dogs nussle one another in the grass near a lake.
main-captions,The woman holding a black purse is smoking a cigarette.,A woman with a black bag is smoking a cigarette
main-captions,A dog is running along the grass.,A brown dog is running in the grass.
main-captions,A man with long hair is looking through a camera.,A woman stands against a wall near a video camera.
main-captions,Brown dog running on grass.,The dog is running on grass.
main-captions,Two people wearing hats sit and look at the camera.,A man wearing a blue shirt makes a grouchy face.
main-captions,Two girls playing with people and flowers behind them.,Two young girls wearing skirts are playing in a garden.
